               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.030052,            0.023005,           0.0032254,             0.85791,             0.75663,             0.83424,             0.51883,            0.031576,              0.0172,           0.0067371,            0.008713,            0.008713,            0.008713
                  67,            0.029081,            0.024822,           0.0031799,             0.85812,             0.75064,             0.78883,             0.50138,            0.032688,            0.017165,           0.0078421,           0.0086932,           0.0086932,           0.0086932
                  68,            0.029707,            0.024919,           0.0029446,             0.81332,             0.71888,             0.78244,             0.48659,             0.03255,            0.017625,           0.0090666,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02939,            0.023807,           0.0028515,             0.92327,             0.76892,             0.86151,             0.53971,            0.031376,            0.017595,           0.0063028,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02957,            0.024769,           0.0033017,             0.66601,             0.72583,             0.71817,             0.44202,            0.033671,             0.01865,            0.010867,           0.0086338,           0.0086338,           0.0086338
                  71,            0.029062,            0.022212,           0.0030911,              0.8418,             0.77835,             0.82619,             0.51106,            0.035489,            0.019108,           0.0080841,            0.008614,            0.008614,            0.008614
                  72,            0.028951,            0.023586,           0.0028892,             0.85689,             0.80486,             0.82363,             0.53522,            0.033668,            0.018166,           0.0092251,           0.0085942,           0.0085942,           0.0085942
                  73,            0.028621,            0.022129,           0.0025737,             0.88697,             0.80524,             0.85115,             0.52432,            0.034516,            0.018494,           0.0078833,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028036,            0.024556,           0.0023816,             0.87124,             0.80218,             0.84493,             0.54712,             0.03391,            0.018818,           0.0093138,           0.0085546,           0.0085546,           0.0085546
                  75,            0.028923,            0.023844,           0.0027261,             0.87624,             0.78795,             0.83115,             0.54621,            0.032515,            0.019111,           0.0075703,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027676,            0.024317,           0.0025055,             0.84722,             0.78876,             0.84136,             0.53688,            0.031331,            0.019215,           0.0068516,            0.008515,            0.008515,            0.008515
                  77,            0.028516,             0.02447,           0.0024417,              0.9211,             0.74194,             0.85418,             0.55571,            0.031894,            0.017924,           0.0061283,           0.0084952,           0.0084952,           0.0084952
                  78,            0.027546,            0.022899,           0.0026268,              0.7217,             0.74986,             0.74643,             0.44849,            0.032049,            0.017686,           0.0087404,           0.0084754,           0.0084754,           0.0084754
